Date,AAFD,None,SAESCR,SPPAO,Other,UOIW,VOCR,Total,UA,ACCFRA
20150929,0,0,0,0,0,0,0,1,0,1
20151130,0,0,0,0,0,0,0,12,0,12
20151108,0,0,0,0,0,0,0,12,0,12
20151122,0,0,0,0,0,0,0,4,0,4
20151128,0,0,0,0,0,0,0,10,0,10
20150901,0,0,0,0,0,2,0,2,0,0
20151120,0,0,0,0,0,0,0,11,0,11
20150410,0,0,0,0,0,2,0,2,0,0
20151203,0,0,0,0,0,0,0,7,0,7
20151029,0,0,0,0,0,0,0,15,0,15
20151013,0,0,0,0,0,0,0,10,0,10
20151113,0,0,0,0,0,0,0,4,0,4
20151016,0,0,0,0,0,0,0,16,0,16
20151114,0,0,0,0,0,0,0,2,0,2
20151216,0,0,0,0,0,0,0,4,0,4
20151116,0,0,0,0,0,0,0,2,0,2
20151024,0,0,0,0,0,0,0,14,0,14
20151009,0,0,0,0,0,0,0,16,0,16
20150502,0,0,0,0,0,2,0,2,0,0
20151103,0,0,0,0,0,0,0,6,0,6
20151102,0,0,0,0,0,0,0,4,0,4
20151008,0,0,0,0,0,0,0,12,0,12
20151022,0,0,0,0,0,0,0,9,0,9
20150429,0,0,0,0,0,1,0,1,0,0
20151003,0,0,0,0,0,0,0,24,0,24
20151014,0,0,0,0,0,0,0,5,0,5
20150515,0,0,0,0,0,1,0,1,0,0
20150413,0,0,0,0,0,1,0,1,0,0
20150310,0,0,0,0,0,1,0,1,0,0
20151028,0,0,0,0,0,0,0,18,0,18
20151104,0,0,0,0,0,0,0,2,0,2
20151228,0,0,0,0,0,0,0,11,0,11
20151217,0,0,0,0,0,0,0,9,0,9
20151030,0,0,0,0,0,0,0,32,0,32
20151106,0,0,0,0,0,0,0,1,0,1
20151221,0,0,0,0,0,0,0,11,0,11
20151031,0,0,0,0,0,10,0,22,0,12
20150506,0,0,0,0,0,1,0,1,0,0
20151020,0,0,0,0,0,0,0,14,0,14
20150829,0,0,0,0,0,2,0,2,0,0
20151220,0,0,0,0,0,0,0,10,0,10
20151202,0,0,0,0,0,0,0,12,0,12
20150317,0,0,0,0,0,13,0,13,0,0
20150903,0,0,0,0,0,1,0,1,0,0
20151010,0,0,0,0,0,0,0,5,0,5
20151002,0,0,0,0,0,0,0,24,0,24
20151219,0,0,0,0,0,0,0,5,0,5
20151218,0,0,0,0,0,0,0,3,0,3
20150930,0,0,0,0,0,0,0,55,0,55
20150316,0,0,0,0,0,9,0,9,0,0
20151210,0,0,0,0,0,0,0,5,0,5
20151004,0,0,0,0,0,0,0,35,0,35
20151026,0,0,0,0,0,0,0,5,0,5
20151018,0,0,0,0,0,0,0,8,0,8
20151019,0,0,0,0,0,0,0,5,0,5
20150707,0,0,0,0,0,1,0,1,0,0
20151111,0,0,0,0,0,0,0,2,0,2
20151208,0,0,0,0,0,0,0,6,0,6
20151126,0,0,0,0,0,0,0,14,0,14
20151119,0,0,0,0,0,0,0,7,0,7
20151213,0,0,0,0,0,1,0,16,0,15
20151023,0,0,0,0,0,0,0,24,0,24
20150721,0,0,0,0,0,1,0,1,0,0
20151121,0,0,0,0,0,0,0,6,0,6
20150428,0,0,0,0,0,1,0,1,0,0
20151107,0,0,0,0,0,0,0,9,0,9
20151223,0,0,0,0,0,0,0,5,0,5
20151123,0,0,0,0,0,0,0,2,0,2
20151112,0,0,0,0,0,0,0,9,0,9
20151021,0,0,0,0,0,0,0,9,0,9
20151129,0,0,0,0,0,0,0,16,0,16
20151207,0,0,0,0,0,0,0,22,0,22
20151110,0,0,0,0,0,0,0,6,0,6
20151212,0,0,0,0,0,0,0,6,0,6
20151006,0,0,0,0,0,0,0,12,0,12
20151231,0,0,0,0,0,0,0,3,0,3
20150727,0,0,0,0,0,1,0,1,0,0
20151229,0,0,0,0,0,0,0,6,0,6
20150426,0,0,0,0,0,3,0,3,0,0
20151206,0,0,0,0,0,0,0,10,0,10
20151124,0,0,0,0,0,0,0,5,0,5
20151001,0,0,0,0,0,0,0,41,0,41
20151209,0,0,0,0,0,0,0,7,0,7
20151201,0,0,0,0,0,0,0,3,0,3
20151117,0,0,0,0,0,0,0,6,0,6
20151222,0,0,0,0,0,0,0,7,0,7
20151115,0,0,0,0,0,0,0,16,0,16
20151027,0,0,0,0,0,0,0,18,0,18
20150331,0,0,0,0,0,1,0,1,0,0
20150323,0,0,0,0,0,5,0,5,0,0
20150821,0,0,0,0,0,3,0,3,0,0
20151005,0,0,0,0,0,0,0,2,0,2
20151118,0,0,0,0,0,0,0,5,0,5
20151211,0,0,0,0,0,0,0,4,0,4
20151230,0,0,0,0,0,0,0,5,0,5
20151224,0,0,0,0,0,0,0,13,0,13
20151205,0,0,0,0,0,0,0,2,0,2
20151105,0,0,0,0,0,0,0,3,0,3
20151025,0,0,0,0,0,0,0,5,0,5
20151011,0,0,0,0,0,0,0,14,0,14
20150309,0,0,0,0,0,1,0,1,0,0
20151225,0,0,0,0,0,0,0,16,0,16
20151017,0,0,0,0,0,0,0,31,0,31
20150326,0,0,0,0,0,2,0,2,0,0
20151007,0,0,0,0,0,0,0,32,0,32
20151226,0,0,0,0,0,0,0,10,0,10
20151012,0,0,0,0,0,0,0,16,0,16
20151109,0,0,0,0,0,0,0,4,0,4
20151127,0,0,0,0,0,0,0,8,0,8
20150325,0,0,0,0,0,1,0,1,0,0
20151204,0,0,0,0,0,0,0,9,0,9
20150315,0,0,0,0,0,1,0,1,0,0
20151214,0,0,0,0,0,0,0,20,0,20
20150501,0,0,0,0,0,1,0,1,0,0
20151125,0,0,0,0,0,0,0,10,0,10
20150416,0,0,0,0,0,3,0,3,0,0
20151227,0,0,0,0,0,0,0,7,0,7
20151015,0,0,0,0,0,0,0,23,0,23
20151101,0,0,0,0,0,0,0,8,0,8
20150516,0,0,0,0,0,1,0,1,0,0
20151215,0,0,0,0,0,0,0,12,0,12
20150324,0,0,0,0,0,2,0,2,0,0
