Total,2598
Alleged civilian casualties from Russian attacks,1630
Use of illegal weapons,764
Unlawful attacks,518
Other,302
Specifically protected persons and objects,81
Sieges and economic/social/cultural rights,14
Violation of children's rights,11
Arbitrary and forcible displacement,4
